city,country,lat,lon,temp,temp_min,temp_max,pressure,humidity,cloudiness,wind_speed,timestamp
husavik,IS,66.0449,-17.3389,283.45,283.45,283.45,1015,99,100,4.56,1627420361
honiara,SB,-9.4333,159.95,299.42,299.42,299.42,1013,84,79,3.36,1627420361
dikson,RU,73.5069,80.5464,277.98,277.98,277.98,992,100,100,7.12,1627420362
punta arenas,CL,-53.15,-70.9167,279.21,278.77,279.21,1022,87,75,5.66,1627420362
sanming,CN,26.2486,117.6186,298.86,298.86,298.86,997,90,57,1.11,1627420363
kapaa,US,22.0752,-159.319,300.59,299.88,302.33,1019,76,40,2.68,1627420363
hithadhoo,MV,-0.6,73.0833,300.39,300.39,300.39,1011,77,95,3.51,1627420364
pervomayskiy,RU,53.2485,40.2871,292.11,292.11,292.11,1019,72,29,1.73,1627420364
ushuaia,AR,-54.8,-68.3,275.96,275.96,275.96,1018,93,90,3.6,1627420365
rikitea,PF,-23.1203,-134.9692,296.75,296.75,296.75,1018,77,100,6.75,1627420365
new norfolk,AU,-42.7826,147.0587,283.66,282.54,285.87,986,74,92,0.45,1627420125
sao felix do xingu,BR,-6.6447,-51.995,303.49,303.49,303.49,1010,33,0,0.9,1627420353
albany,AU,-35.0169,117.8917,282.44,282.44,282.44,1008,82,73,5.66,1627419700
kutahya,TR,39.4242,29.9833,293.12,293.12,293.12,1019,70,0,1.86,1627420366
chaman,PK,30.9236,66.4512,304.09,304.09,304.09,993,15,100,4.52,1627420367
ife,NG,7.4667,4.5667,293.64,293.64,293.64,1014,96,100,1.16,1627420367
bredasdorp,ZA,-34.5322,20.0403,286.08,286.08,286.08,1018,76,100,6.61,1627420368
dali,CN,25.7,100.1833,290.54,290.54,290.54,1004,91,98,0.74,1627420368
vao,NC,-22.6667,167.4833,293.25,293.25,293.25,1021,57,100,7.58,1627420369
vestmannaeyjar,IS,63.4427,-20.2734,285.94,285.94,285.94,1010,83,45,5.58,1627420369
busselton,AU,-33.65,115.3333,280.4,280.4,280.42,1009,66,100,5.47,1627420370
paso de carrasco,UY,-34.8603,-56.0522,282.51,282.23,283.12,1016,57,75,8.23,1627420370
hermanus,ZA,-34.4187,19.2345,286.37,285.32,286.37,1019,77,99,8.72,1627420371
mahebourg,MU,-20.4081,57.7,293.29,293.29,293.29,1020,85,98,7.48,1627420092
